dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,WUXIASHADOWRATE,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
715876,3.83291063480335,3.34616244926611,31.0970637611641,85.5616,5.2,2.21304282256654,40.1,10.8598026239015,3.63086509984463,17.6733680522924,-0.661825552211326,4.35,7.28619171470238,-21.1125097359119,0.600192931664445,4.74,5.03,4.92,4.72,5.34
715907,1.37104223879625,5.2014529896347,-10.722820285671,84.6108,4.8,5.27269731539306,39.7,5.39326750540705,0,3.5036521240011,1.24980865946132,3.96,7.31521838975297,-47.453683203809,1.49917029725373,4.3,4.66,4.69,4.49,5.34
715936,2.2905155874227,16.8491053736689,-10.8245439306547,83.2421,5.4,-1.29947611513117,39.5,5.36913647390551,10.8271411195645,-3.5036521240011,0.661136804700568,3.31,7.01121398735037,-16.4623520434972,1.11245818421466,3.61,4.02,4.31,4.25,5.25
715967,4.10249118426869,18.4263407222835,-9.5496995448384,82.2593,5.2,7.88530023026155,39.8,-5.36913647390551,0,-3.51391173490647,4.39829447795539,3.23,7.16162200293919,15.3862153020203,1.53862613236537,3.55,4.04,4.29,4.28,5.2
715997,2.88064555593266,-24.412046667811,-1.37337615397737,81.4711,5.1,-7.42261352034532,39.6,5.36913647390551,0,0,1.24325817867419,3.29,7.14755927118945,-11.0320740953238,-1.49585986781595,3.58,4.21,4.49,4.35,5.28
716028,0.946243130386293,-0.263794241555182,-15.1808698152703,80.2236,5.4,-2.80087976232934,39.5,0,0,3.51391173490647,0.51155568510115,2.46,7.12849594568004,43.5325118015527,-1.4120920915575,2.74,3.36,4.12,4.15,5.26
716058,2.19476114526387,2.43788690574949,-4.17190582501021,79.7275,5.5,-0.927715546785635,39.6,5.34522041925616,3.58744661803954,0,2.11698202545669,2.3,7.08757370555797,-30.1342094590229,2.43802546838232,2.71,3.2,3.79,3.9,5.22
716089,-1.95272115304768,-1.18538040590508,-1.39731679242239,79.0505,5.6,-0.751533484380928,39.4,5.32151648143877,-3.58744661803954,0,2.04044501703606,2.3,7.20340552108309,14.3125862251622,0.768874834975364,2.59,2.95,3.62,3.8,5.08
716120,1.52759583926887,5.71852203716219,-12.6234487515639,77.9187,5.5,-0.995400936345447,39.1,0,0,0,0.727890353508087,2.48,7.00033446027523,-36.653945500472,1.06706510792618,2.83,3.07,3.61,3.8,5.01
716150,3.5416774724748,5.82191989360865,-1.40850924960425,77.5287,6.1,-1.88245754629719,39.4,5.29802185094033,10.7303248507939,3.5036521240011,1.3817764624843,2.3,7.1276936993474,-23.8813851807544,-0.469391752513371,2.73,3.04,3.76,3.89,5.11
716181,-5.08839222888327,-4.18369438320116,-17.0642245454461,75.7724,6.1,-4.01839362394938,39,-5.29802185094033,0,-31.9073450270874,3.99093338378709,2.37,7.1276936993474,38.2449951916955,0.853303029626851,2.66,3.08,3.81,3.93,5.08
716211,-5.55691033823962,-14.8251714011218,-23.1310354946851,74.2557,6.6,-4.8800936313981,38,0,-3.5661244669889,-14.4580062194091,0.28973260236107,2.25,6.96885037834195,28.4327899919553,-2.64721687145668,2.5,2.86,3.67,3.84,5.1
716242,10.7785623574912,2.9797228719044,1.45645870153484,74.1095,6.6,-1.31812905969184,39.2,5.29802185094033,0,-25.7283974854431,0.144840072596431,2.24,7.07580886397839,60.1567763326603,-0.427517906833952,2.47,2.81,3.67,3.84,5.1
716273,4.58032979973382,4.42281216900238,-1.45645870153484,73.512,6.9,-2.81984463960967,39.2,5.27473376764549,3.5661244669889,0,1.15809165149798,2.42,7.11151211649616,48.2467147323078,-2.78258512566376,2.6,2.93,3.66,3.78,5.07
716301,4.87711731236367,14.7996418846402,7.27545016309783,73.8637,6.9,2.28324199609773,39.1,0,-3.5661244669889,3.70943108360713,-0.651289025485013,2.39,7.17930796950403,37.0605113521279,-1.02904926447644,2.54,2.88,3.6,3.74,5.02
716332,2.60352699364645,0.585603915647326,24.4180294070132,75.3829,7,-0.715843654134574,39.1,5.25164951975881,-7.16420038380505,3.69799984488992,-0.724069291261742,2.29,7.06133436691044,31.58320048612,0.257345057816405,2.47,2.88,3.57,3.78,5.01
716362,9.29755913156427,7.26370914807042,18.3423918220777,76.356,7.1,3.55264519862715,39.3,5.22876644274688,-3.59820359550778,25.5717439041016,0.651682019335276,2.29,7.11314210870709,12.1515434184271,-1.7596255008244,2.45,2.87,3.47,3.71,5.01
716393,11.2457313213344,2.90611771881988,16.6885083345473,77.3241,6.9,4.25378358074084,39.6,5.20608191831786,0,7.2072288722536,0.578975947543903,2.33,7.23128700432762,-15.9857041546235,-1.80522259052651,2.54,3.06,3.81,3.88,5.03
716423,3.41518000789378,-3.61757379916376,13.7268970519667,78.1087,7,3.24144507916557,39.7,0,0,10.7303248507939,2.60194042794843,2.24,7.19668657083435,-3.2962022861561,-1.03277636727084,2.45,2.92,3.84,3.92,5.09
716454,0.660796564820032,4.32688895455886,10.8735866046571,78.9783,6.6,3.87379165231323,39.7,5.18359337341958,3.59820359550778,0,1.0103440577609,2.39,7.17930796950403,42.3371989780584,6.65440053793258,2.66,3.06,3.96,4.04,5.11
716485,1.46938417304767,6.62150449246202,-1.35130906633432,78.1562,6.7,1.98737693328468,39.2,0,-3.59820359550778,3.55555815678823,1.36982201182505,2.28,7.26473017792987,-9.41878215690046,3.97499962763472,2.68,3.06,3.9,3.98,5.12
716515,11.8346039119551,7.54116557549196,22.8023538952677,79.5528,6.5,2.95289837739077,40,10.3004924296698,0,-21.4931118798358,-0.144118177078134,2.3,7.25488481007734,13.1303986367801,1.36470268457947,2.66,3.05,3.8,3.92,5.13
716546,10.6896782112379,11.5391600831332,18.4644249121657,80.7658,6.1,4.83233922900297,40.2,5.11727854374908,3.59820359550778,-7.25077734715551,0.0720612520854758,2.48,7.23345541862144,53.1579577324127,-0.213132515701275,2.7,3.07,3.82,3.94,5.11
716576,7.13081099555026,8.30017981128268,10.4201109661728,81.6041,6,2.84635307790211,39.7,0,0,3.63086509984463,0.360241364417746,2.6,7.21890970761906,11.0909625812226,-2.26153502797954,2.88,3.18,3.91,4.06,5.1
716607,-1.14622015284134,0.375920224449899,-10.4201109661728,80.2408,5.8,0.415440544222889,39.3,5.09554905774134,3.58744661803954,0,2.23108589774075,2.72,7.21597500265147,-45.5135868039061,0.597800958881134,2.94,3.28,3.94,4.08,5.08
716638,5.0350245256336,-0.563924507153857,19.470640185747,81.4267,5.5,6.47536523429793,39.9,0,3.57675376576552,-7.27274953402972,3.23130973456944,2.73,7.15305163493748,19.8152251672855,1.53583638712256,2.93,3.28,3.89,4.04,5.07
716666,8.24181129576687,9.92385964242644,6.41905161681144,81.8912,5.6,1.8902260772677,40.1,5.07400333142547,-3.57675376576552,3.64188443418509,1.57659025365735,2.72,7.27447955877387,1.19564453703411,0.298406722793931,2.87,3.06,3.68,3.93,5.04
716697,6.13199744461284,4.15729881406222,2.55898560515959,81.7429,5.6,7.07813410691784,40.1,5.05263904361195,0,-3.64188443418509,1.35993572754849,2.73,7.32909373624659,-38.8641745084076,-0.554242988553444,2.83,2.99,3.6,3.84,5.02
716727,1.67388317086647,9.13255809137752,-1.28118450548609,81.3349,5.5,0.560999740507384,40.2,0,-3.58744661803954,-3.65297085747383,0.786627363468462,2.69,7.30182234213793,-92.7200945563648,-0.810508198104376,2.78,3.03,3.66,3.87,5
716758,1.69697769004031,-6.03945399715293,-2.55696429625853,80.9291,5.5,0.345100297151646,40,0,0,-3.66412498426776,0.714668593573187,2.73,7.24708058458576,-149.104031455963,-1.62266055612657,2.8,3.03,3.64,3.91,5.02
716788,5.76127501070332,3.94757487840156,11.4825255981499,81.476,5.4,2.19768442788677,40,5.03145391204334,0,-3.67534743665541,-0.643182578003731,2.92,7.27931883541462,28.5626272861226,-0.726638074527841,3.08,3.29,3.8,4.01,5.05
716819,1.95368837106749,3.25928403916755,1.26698797965705,81.4168,5.7,1.97877876785384,40.1,5.01044569257663,3.58744661803954,-3.68663884436398,1.71438805277369,2.82,7.32448997934853,32.2125151915433,-1.19777565911985,2.99,3.2,3.71,3.98,5.06
716850,0.529548919895007,13.435254846102,7.58799730757627,81.7875,5.6,3.00493825191879,40.1,0,10.6984363895426,0,5.91011430525974,2.78,7.18841273649695,-10.7106787266051,-1.24181501616949,2.93,3.06,3.7,3.98,5.03
716880,6.40071180339206,-5.96622404998701,1.2623508940818,81.3851,5.4,1.34977116329793,39.9,0,-7.12168262377713,0,-1.27924205185508,2.74,7.33498187887181,-38.4722448024934,0.171361251228319,2.84,2.98,3.64,3.93,4.99
716911,4.31669052121784,15.7641717338894,5.02220580535742,81.8392,5.7,0.321150434132988,40.1,4.98961217839655,0,7.36198628101938,0.92403380843038,2.83,7.39141523467536,79.9538402651045,0.256996003266607,2.89,3,3.6,3.92,4.96
716941,5.66314459532578,6.78731443816094,0,81.6791,5.5,-0.599550349718925,39.6,0,-3.57675376576552,-18.4903504234144,-0.49746824910688,2.87,7.35500192110526,50.8716539007438,0.599443386475329,2.91,3.01,3.56,3.86,4.92
716972,7.38840475908376,-0.41933954449167,8.74437353772368,81.9446,5.7,1.86190882970223,40,4.96895119923755,-3.58744661803954,7.43036429750514,2.91081343730433,2.91,7.12608727329912,45.4870432351893,0.641928654240775,2.96,3.04,3.58,3.83,4.91
717003,-6.34477249030745,-4.50214379676535,13.6195716785883,82.3778,5.9,2.45671900306945,39.9,4.94846062063461,0,-3.70943108360713,1.27569111943284,2.92,7.28344822875663,15.7583574672127,-0.599122725615331,2.98,3.01,3.66,3.92,4.89
717031,5.35998052969617,6.11878950194686,7.3629779961875,82.6243,5.7,1.91914745481228,40,4.92813834318402,-3.59820359550778,0,-0.921196419504433,2.89,7.3356339819272,-4.55962247800237,-1.19914356873663,2.95,3.03,3.68,3.93,4.88
717062,3.28410861584985,4.30043763221359,10.9581961734126,83.4581,5.7,5.52702482836054,40.2,0,0,3.70943108360713,-0.0708905627149647,2.9,7.4318919168078,55.1759763741213,0.0428471961910759,2.98,3.11,3.74,3.97,4.87
717092,5.16022521743373,0.834409490260235,14.4555011900747,83.9513,5.9,0.763277880074753,40.2,4.90798230183032,3.59820359550778,7.3846386892539,1.91257677510475,2.93,7.40306109109009,23.8452770368603,-0.471403323741892,3.01,3.12,3.72,3.93,4.85
717123,5.64417763293896,11.5032010421324,3.59015306260133,83.9398,5.6,0.911057205536281,40.3,4.88799046516286,3.58744661803954,3.67534743665541,2.6159975008893,2.99,7.37023064180708,-0.513368991787289,0.257152042128439,3.08,3.2,3.81,3.99,4.84
717153,0.665548676316874,6.18027117157904,-4.78629571307714,83.3448,5.6,2.85580947985906,40.2,4.86816083473731,-3.58744661803954,3.66412498426776,2.39887191834498,3.18,7.38647084882989,-17.9339449415941,0.257096947957347,3.31,3.48,3.89,4.02,4.84
717184,4.21086263330466,4.21957848330692,2.39553417023295,83.5014,5.4,2.44846352446473,40.2,0,0,7.29485529165892,1.62005131288829,3.32,7.40184157874383,32.7331969409631,-0.514248990085786,3.44,3.53,3.89,4,4.83
717215,8.15761338986292,-2.22515068881641,11.9020631915101,83.8227,5.5,3.53721700480918,40.2,4.84849144440589,0,7.25077734715551,-0.281590990380742,3.38,7.47477218239787,31.2052625074354,-0.814678536998859,3.5,3.57,3.96,4.08,4.84
717245,6.55556876949248,-0.703537248997499,8.26699678472043,84.3071,5.5,4.30217055624667,40.3,0,3.58744661803954,10.7946754902931,2.39141981729887,3.45,7.48380668766583,2.96133958896583,0.0428916093335729,3.58,3.64,3.97,4.11,4.83
717276,2.50124160036158,8.8811389894234,5.86659802022567,84.2946,5.7,-0.586704860732823,40.2,4.8289803596707,0,3.57675376576552,1.68519629801889,3.52,7.39141523467536,-6.75593957499423,0,3.65,3.74,4.01,4.12,4.84
717306,9.46650885769778,14.2355915496305,-2.34406926986388,84.0095,5.5,2.21958603100774,40,4.8096256770465,-3.58744661803954,14.2013491764034,1.75289989976193,3.52,7.30720231476474,25.3432677147327,-0.557710536824896,3.66,3.81,4.04,4.13,4.85
717337,4.30827721594724,3.90543084259427,10.5102821424319,84.4621,5.6,2.63304647295755,39.5,0,3.58744661803954,10.5417954668789,2.51968596512349,3.52,7.37963215260955,36.3326119519257,0.772145590378948,3.64,3.79,4.07,4.17,4.83
717368,4.91003752627321,8.39943433575723,8.11101575990136,84.6673,5.4,5.53975298318932,40.3,0,0,6.97676383850432,1.74667434989644,3.53,7.50659178007084,14.6647690887555,-0.600514739440872,3.67,3.78,4.03,4.15,4.83
717397,6.09366274170213,4.2061429952323,0,84.3575,5.4,2.98832839258125,40.2,4.79042552344482,-3.58744661803954,17.2664849425191,0.697958491147688,3.54,7.32448997934853,21.6665082977585,0.514745316203591,3.72,3.91,4.14,4.22,4.83
717428,7.25805575426079,2.15419558984884,19.4759157446551,85.5869,5.3,0.518049723550007,40.2,4.77137805556747,3.58744661803954,3.42368277888774,0.906739558966407,3.47,7.27793857294566,17.236027703213,0.385914137431342,3.66,3.91,4.15,4.23,4.85
717458,7.19154682894114,16.4813803182126,6.799814242917,85.5983,5.1,3.45484718559632,40.3,0,0,3.41394255867762,0.139437601830217,3.48,7.29097477814298,11.6520273146115,0.171477565310418,3.6,3.84,4.05,4.2,4.85
717489,4.24065155936333,6.85190915301099,3.3834215327774,85.449,5.2,2.68253370299192,40.4,4.7524814593161,0,20.2821729631237,1.67198865946272,3.48,7.34601020991329,-7.15707887000825,-2.23112192419084,3.56,3.83,4.02,4.17,4.85
717519,6.52219608608746,8.79976271277663,7.86467181270822,85.861,4.9,3.97150348363269,40.3,4.73373394921976,0,6.68525405934659,1.53061245241428,3.46,7.35372233039963,43.7586718813375,-1.93413247695036,3.56,3.72,4.03,4.19,4.83
717550,6.68168213146885,7.20194579565447,7.80933579276759,86.1105,5,4.24503352174881,40.4,4.7151337678673,3.57675376576552,3.32871225927018,0.973010594257318,3.5,7.35819375273303,-17.7221475486498,-1.33421816732389,3.61,3.74,4.05,4.19,4.82
717581,4.97834690171786,-5.05333286710847,4.44094021904853,86.1994,5.1,5.79977644022733,40.3,4.69667918536381,0,19.7806676660276,1.80492918443136,3.53,7.28276117960559,20.4587507871199,-1.37881523248602,3.68,3.84,4.08,4.2,4.82
717611,0.63694700343504,7.84549599923192,-16.736869336448,84.6252,5.1,-2.24306753728101,40.3,-9.4118129532311,0,44.9250324865567,0.762807387933506,3.57,7.32909373624659,20.5401425120584,0.0431119653715228,3.72,3.86,4.07,4.19,4.81
717642,8.06679200025187,-10.987075471817,36.5161476620537,86.8484,4.8,8.64329943617292,40.6,4.7151337678673,0,9.41181295323084,1.66262582884205,3.64,7.3038432252777,8.31526023797942,0.560314648400073,3.81,3.91,4.04,4.15,4.81
717672,11.8339071026355,11.5884559258717,14.085853376867,88.0025,5,4.10657941714518,40.7,9.37504768415249,0,-6.26633277738193,1.72945580911072,3.84,7.30249642372733,-20.9686563113433,2.49668275305259,3.95,4.02,4.09,4.18,4.81
717703,7.49713568434984,8.49638188360551,12.8590125736908,88.5986,4.9,3.24697894801247,40.8,0,0,0,1.3127214367227,3.81,7.21597500265147,30.4814130524765,0.30097278862149,3.94,3.94,4.1,4.19,4.8
717734,0.704251882553564,19.0065667120582,7.43597935972247,88.7226,5.1,4.38257510800781,40.7,13.9266553443697,3.5661244669889,-3.1454801758489,0.483272451372763,3.93,7.26752542782817,8.74649559696721,1.63253641103749,4,4.03,4.15,4.21,4.78
717762,5.74067358250687,3.68024823430044,15.7829707551747,89.2769,4.7,4.06668001866777,40.8,4.60653156859867,0,3.1454801758489,1.58652625644855,3.93,7.26052259808985,1.10611829470209,-1.15973163389107,4,4.06,4.15,4.21,4.78
717793,4.95885069375035,8.49072661860149,5.2139074178509,89.2868,4.8,5.10885340351308,40.7,-4.60653156859867,10.6352247094145,12.5001130299069,1.85977134489868,3.93,7.27100853828099,15.6523958304359,1.63189374897339,3.99,4.04,4.15,4.2,4.8
717823,6.5912599966012,-1.11098872699316,9.32985573681737,89.4494,4.6,4.61118579827726,40.8,9.19544729468291,3.52423160797137,27.6580745235492,2.68125809794633,3.89,7.29844510150815,17.7379816421006,0.386176321427723,3.95,4.03,4.15,4.21,4.81
717854,3.46820298136379,-10.0454578433508,9.2578765002143,89.4582,4.6,3.94121544895611,40.6,4.57143410000111,3.51391173490647,6.06061894328249,3.49724525370121,3.8,7.30518821539304,-58.3869175191701,-2.06104462588756,3.86,3.99,4.15,4.21,4.85
717884,8.03783943143586,14.957760849456,11.2232245736816,90.2974,4.4,5.42518699735623,40.7,-4.57143410000111,-3.51391173490647,-9.10244566710823,0.889826923812187,3.84,7.33236920592906,-1.83583442690427,-0.558809316422604,3.9,3.98,4.15,4.2,4.88
717915,5.01385231270461,8.77085551126893,5.06424253130504,89.8508,4.4,5.16560666067889,40.6,9.12551926226315,3.51391173490647,0,0.273660206431181,3.84,7.26682734752059,22.1243139685786,-0.0859937654887233,3.95,4.07,4.2,4.25,4.88
717946,29.0382574088987,19.9278061646005,3.02757009003543,89.5586,4.3,5.12395048310168,40.7,4.53686740788726,3.5036521240011,6.07596234785603,0.547133259222043,3.92,7.30114780585603,39.4417718242611,2.53422912979548,4.07,4.2,4.25,4.29,4.91
717976,-5.20165367329213,16.6112071732289,12.041878645347,89.7893,4.2,4.46071823378915,40.7,4.51977935457224,3.49345224895039,-6.07596234785603,0.410186296934967,4.03,7.28069719538474,26.6869437345665,2.7429562998373,4.19,4.3,4.34,4.35,4.93
718007,8.93344665931011,-0.456920446364251,4.98015771714453,89.6483,4.1,5.37365000952263,40.7,0,3.48331158955393,6.07596234785603,1.98059291995012,4.09,7.28619171470238,9.93794499806668,0.256830991920154,4.24,4.37,4.46,4.45,4.95
718037,6.34975507182602,2.43490107213713,14.8212955947276,90.5141,4,6.29355196671,40.9,4.50281954226037,6.93643549859893,-15.2479815229377,4.35943034937925,4.38,7.4121603349452,-5.48184551312225,-0.685004835041525,4.55,4.72,4.72,4.62,5.02
718068,2.91933483087163,7.62773295050643,11.7280724170303,90.8594,4,3.97914678469675,41,0,0,6.12246226067441,1.42699413741187,4.59,7.22256601882217,20.6219611579979,0.770602951919308,4.71,4.88,4.86,4.61,5.06
718099,5.94912832668442,8.02980705196283,7.75551567011998,90.9108,3.8,5.11311366051146,41.2,8.95526544190757,10.3300494439202,-3.05732649455823,4.94734273180431,4.65,7.2283884515736,-8.12862631858522,-0.599315080950458,4.82,4.94,4.98,4.83,5.12
718127,6.42796063145212,9.31724251432531,16.3105987994287,91.5884,3.8,7.54360042085622,41.2,4.45269527584289,0,-3.06513576611618,2.90467084320749,4.59,7.23993259132047,-50.3681358676399,-3.12985867982762,4.78,4.97,4.92,4.87,5.32
718158,-1.01552165778642,0.645041260957413,1.90502317465455,91.5416,3.8,4.64349188343576,41.2,8.85612875714701,3.42368277888774,0,4.1757913833397,4.62,7.20934025660291,36.1729516184521,-0.773002209745322,4.74,4.9,4.83,4.75,5.41
718188,3.93785536259657,-11.2634766628043,11.3670631158925,91.6379,3.9,5.1907685401666,40.8,0,0,-9.24266443451067,1.47824644932637,4.64,7.14282740116162,-64.8661095718566,-0.472635485995987,4.81,4.93,4.89,4.78,5.48
718219,5.82863215555491,3.20040194701559,5.63992487573284,91.5205,3.8,7.49163382360791,40.9,4.40367466675493,-6.8571615161261,-6.20156419013114,3.01802590269631,4.5,7.08506429395255,-9.99774355170082,-1.07486437024722,4.65,4.97,4.97,4.81,5.58
718249,4.87112861709491,10.342748317888,6.55235556382134,91.4046,3.8,3.55107258485887,40.8,4.3875734437326,6.8571615161261,0,2.27526278290515,4.8,6.99025650049388,-3.07155490561293,-0.430215470854112,4.93,5.17,5.17,5.02,5.68
718280,5.98878391632738,1.87994761404902,0.931159712625096,91.0801,3.8,3.83827418723115,40.8,8.72731119489574,10.2128276014906,0,4.6042261838922,4.96,7.02019070831193,-74.8395525014701,0,5.27,5.54,5.5,5.22,5.83
718311,7.20197501669233,10.9733608657262,11.1384892286887,91.2464,3.7,2.52729477853109,40.7,4.3399685642262,6.76058126190746,-3.11284221245565,3.7902117786965,5.37,6.95272864462487,-43.0186163308548,0.215127015150873,5.79,5.82,5.5,5.18,6.09
718341,4.95649500452799,-5.2527237217852,8.28483655707366,91.618,3.7,3.91051876217219,40.9,4.32432900395803,-3.3755296519379,-3.12093804006928,3.18249813586249,5.35,6.73696695800186,-10.5331772195179,0.989087837537195,5.62,5.58,5.27,5.01,6.1
718372,7.39537747599215,2.50650266216326,-8.28483655707366,90.1293,3.6,3.04913425470588,40.7,4.30880175687447,0,9.33856853046606,1.78645306337479,5.32,6.86797440897029,58.6000563779894,-0.214949756069327,5.54,5.54,5.36,5.16,6.13
718402,-0.318818628180395,1.91321096063284,2.76683235374886,90.0246,3.8,3.31751582076052,40.6,0,-3.38505160996956,-3.10478827794114,2.44379092082578,4.96,6.89770494312864,5.02711430134255,-0.430015055128496,5.07,5.2,5,4.84,6.18
718433,11.1432491104857,5.67261335897733,5.64737434675049,89.8425,3.9,3.82218597951578,40.8,4.29338561746064,0,30.6922101475795,0.065979381459691,4.72,6.97260625130175,45.1736292901504,0.387020483188483,4.74,4.75,4.7,4.58,5.97
718464,1.45979174936457,-4.44779850587498,-13.6881400404199,88.3949,3.8,0.403558657386327,40,8.54096132263669,-3.39462744057322,6.04535283594849,1.38472966433056,4.56,7.02375895473844,40.6534424913428,1.33211594493119,4.59,4.71,4.74,4.63,5.82
718492,7.19653901509574,6.25154039044524,-6.7818640667582,87.5162,3.8,1.85096135477352,40.2,0,0,0,0.724697378527139,4.26,6.96224346426621,27.9682305710875,0.944476293747698,4.22,4.35,4.54,4.54,5.85
718523,-0.892442296223095,11.2968249098481,11.2636106481796,87.6555,3.8,-1.1725549804666,40,4.24779204614918,0,0,1.90847060983881,3.84,6.99484998583307,20.4905743637354,1.24385678190837,3.89,4.11,4.51,4.59,5.83
718553,2.13734044946889,-0.0482576961042369,-10.5158651113234,86.6106,3.8,2.81952435832764,40,4.23280862156199,3.39462744057322,-12.1213151838045,2.36492111359983,3.6,7.1731917424866,21.3135540212104,-0.98640129926455,3.8,4.15,4.75,4.85,5.96
718584,4.75313895210832,7.02516140916689,-0.148819609770356,86.0691,3.9,2.37497222990228,40.1,4.21793052893342,10.1266423750374,3.04182672382574,3.80037447704336,3.54,7.12929754892937,-15.1289907403452,-2.4480601178321,3.89,4.48,5.01,5.02,6.15
718614,6.15192806553182,-4.27756535853003,-2.73394812355505,85.3074,3.8,2.51599174500541,40.2,12.5655598407544,0,-3.04182672382574,4.04920379852474,4.21,7.21817683840341,20.5600344936489,-1.67787066862539,4.72,5.01,5.23,5.16,6.26
718645,5.60076794260596,3.60569971410456,22.7718251141976,86.4918,3.8,4.63528081250857,40.3,4.15944957178374,3.35664554527337,0,3.77563509914562,4.27,7.24921505711439,18.9443934481908,-0.861357392616213,4.83,5.13,5.31,5.28,6.33
718676,0.94288634928148,9.94348769672406,-1.9519760392285,86.0644,3.8,0.380932229005282,40.3,4.14508184170472,0,0,3.63420319951491,4.42,7.2591161280971,16.6476658418965,-0.689531353143735,4.96,5.24,5.4,5.3,6.4
718706,1.60512078991033,-11.2883485483421,9.73504619664087,86.3701,4,1.10583213379059,40.3,4.1308130291676,3.34728250509446,24.1214151853047,3.30017194169532,4.56,7.30720231476474,-1.88019049275709,-0.21555982741317,5.07,5.37,5.57,5.48,6.52
718737,7.54246004166887,8.1421186445036,17.0411382551112,87.5349,3.9,8.63027311587743,40.5,8.21921021468954,0,63.9376399355239,3.9997886609104,4.73,7.33823815006559,-38.2360299163782,-53.5185110223319,5.25,5.61,5.78,5.75,6.72
718767,3.37925555998027,15.9319552164215,12.8539968634714,88.0043,3.8,3.53884525538248,40.2,4.08858998593731,3.33797155425213,0,1.86630236315395,4.97,7.17625453201714,33.7115168059853,-121.094745133761,5.49,5.71,5.75,5.7,6.93
718798,6.52371255234669,7.65335666724845,-1.29044868725021,87.409,3.7,-1.72320977377325,39.9,16.2164630000673,3.32871225927018,11.2676884198072,5.58155461095016,5,7.22983877815125,-3.27834605498616,1.39552285528834,5.24,5.43,5.54,5.53,6.84
718829,9.12335175814363,1.16952234273313,4.29172274515519,87.4074,3.8,7.36017350021285,40.4,4.02010426233845,3.3195041914686,73.4090680429844,4.85468563752178,4.98,7.32646561384032,-55.4272589632493,0.0498100990045991,5.17,5.41,5.59,5.56,6.8
718858,10.1614494265526,19.9853920935272,3.73860734411711,87.162,3.7,1.42740333535514,40.3,8.00002962982704,3.31034692689531,18.3209665569461,3.94590649897921,5.17,7.2902928824466,-22.15365409489,-4.74121517601596,5.33,5.58,5.76,5.74,6.85
718889,5.37119194875757,-4.46893573145921,1.73721158762454,86.8664,3.5,4.64513264399571,40.1,7.94704891259208,6.5934231811692,-75.0244283776007,3.74296515562396,5.38,7.34858753092759,85.5092099490285,1.04967204443644,5.49,5.71,5.69,5.64,6.97
718919,6.271891115221,8.23386076653723,13.3836498265794,87.5813,3.5,1.70404146734526,40.5,7.89476531765088,0,-68.2648492824615,4.42571629159065,5.66,7.24992553671799,27.2823572971827,-6.31184924211841,5.83,6.14,6.04,5.87,7.03
718950,5.6051814489237,10.2248707177894,4.40028136233561,87.3857,3.7,4.47930173308322,40.5,0,3.28317578264929,8.74851991521464,3.7805229483574,5.52,7.24779258176785,31.8211920736825,-2.31262378334334,5.64,5.98,5.85,5.72,7.07
718980,7.25574751814122,11.1296228353156,-1.84091715913937,86.7442,3.7,3.89911466247028,40.4,7.84316517574277,3.27421758384521,-11.6789243018767,3.70593610254577,5.31,7.32118855673948,-2.39043903748843,2.71436466422981,5.41,5.65,5.6,5.5,6.98
719011,5.52721951869799,3.28292969949864,3.34385227142349,86.7968,3.5,3.58797242151496,40.3,3.9024424636529,3.26530813723274,-2.93757796636829,4.88187185592306,5.09,7.30988148582479,-26.4916761511092,0.552174195599564,5.23,5.43,5.5,5.42,6.82
719042,5.61393029942749,-1.66282819708634,4.53607682027855,86.4725,3.4,2.70147905986136,40.5,11.6317550467916,6.50408096320678,2.93757796636829,4.17760417770445,5.19,7.34987370473834,38.3965356952061,-1.85832411314171,5.25,5.45,5.48,5.46,6.79
719072,2.01979405184005,1.97715828289216,2.38020212444106,86.6458,3.4,4.14562563837109,40.5,3.85233075629801,0,5.8536701441195,5.27910175213933,5.35,7.35819375273303,29.2554713725806,1.15551284807212,5.41,5.57,5.55,5.58,6.84
719103,5.39816442258001,6.5819832559221,15.4237302259386,87.5043,3.4,4.58371713057204,40.2,11.4833412193807,3.2388683629982,2.91616182394989,4.08310957428082,5.45,7.39633529380081,18.3559984505688,-1.96000462378301,5.6,5.75,5.66,5.7,7.01
719133,4.8808402577599,-2.90594929932073,3.78415686057174,87.1424,3.4,4.58360416072523,40.3,3.80348971353479,0,8.70620505740654,2.46786719371155,5.96,7.34471905414967,12.4588188506618,-0.805031476733298,6.06,6.19,6.12,6.03,7.23
719164,1.10180219347953,9.67405629453246,7.2380672738305,87.3139,3.4,3.30528665133727,40.5,7.57100303191782,3.23014999885398,39.8140784367818,4.67501103904286,6.14,7.47816969415979,-51.8066062382513,1.40845086591477,6.28,6.34,6.25,6.04,7.32
719195,5.63190281569845,7.61289068504709,7.65264275356774,87.6817,3.4,4.48476136142304,40.1,7.52353561631436,0,13.9051382068658,3.00452368194097,6.12,7.44132038971762,-5.89681776291471,2.20994537597945,6.3,6.41,6.34,6.19,7.3
719223,5.39816516129576,-5.26190573567415,9.37329027131018,88.0126,3.4,3.54144837423149,40.4,7.4766597007633,6.43433176966219,0,5.62090534362678,6.02,7.35308192051543,-26.2958729168577,0.150529991207504,6.16,6.34,6.41,6.3,7.51
